,ibns_20u,vgs_m1,name,type,time,OK
0,21.009900000000002,0.6867927,tran_LayGtKttmmTtVt_29,Lay,Sat Dec 21 00:21:22 2024,True
1,21.16314,0.6877948,tran_LayGtKttmmTtVt_28,Lay,Sat Dec 21 00:21:21 2024,True
2,21.20842,0.6859733,tran_LayGtKttmmTtVt_27,Lay,Sat Dec 21 00:21:21 2024,True
3,19.69474,0.6830264,tran_LayGtKttmmTtVt_26,Lay,Sat Dec 21 00:21:21 2024,True
4,20.54607,0.6845668,tran_LayGtKttmmTtVt_25,Lay,Sat Dec 21 00:21:20 2024,True
5,20.54578,0.6867831,tran_LayGtKttmmTtVt_24,Lay,Sat Dec 21 00:21:20 2024,True
6,20.6343,0.6869007,tran_LayGtKttmmTtVt_23,Lay,Sat Dec 21 00:21:20 2024,True
7,19.85305,0.6837953,tran_LayGtKttmmTtVt_22,Lay,Sat Dec 21 00:21:20 2024,True
8,19.96363,0.6850222,tran_LayGtKttmmTtVt_21,Lay,Sat Dec 21 00:21:20 2024,True
9,20.43439,0.686933,tran_LayGtKttmmTtVt_20,Lay,Sat Dec 21 00:21:19 2024,True
10,22.54562,0.6893592,tran_LayGtKttmmTtVt_19,Lay,Sat Dec 21 00:21:19 2024,True
11,19.971320000000002,0.6827222,tran_LayGtKttmmTtVt_18,Lay,Sat Dec 21 00:21:19 2024,True
12,20.76418,0.6852242,tran_LayGtKttmmTtVt_17,Lay,Sat Dec 21 00:21:19 2024,True
13,21.72693,0.6874974,tran_LayGtKttmmTtVt_16,Lay,Sat Dec 21 00:21:19 2024,True
14,20.25178,0.685318,tran_LayGtKttmmTtVt_15,Lay,Sat Dec 21 00:21:18 2024,True
15,20.460060000000002,0.6871492,tran_LayGtKttmmTtVt_14,Lay,Sat Dec 21 00:21:18 2024,True
16,20.973989999999997,0.6877854,tran_LayGtKttmmTtVt_13,Lay,Sat Dec 21 00:21:18 2024,True
17,21.32834,0.6894763,tran_LayGtKttmmTtVt_12,Lay,Sat Dec 21 00:21:18 2024,True
18,19.62073,0.6828363,tran_LayGtKttmmTtVt_11,Lay,Sat Dec 21 00:21:17 2024,True
19,20.051660000000002,0.6846688,tran_LayGtKttmmTtVt_10,Lay,Sat Dec 21 00:21:17 2024,True
20,20.02721,0.6830536,tran_LayGtKttmmTtVt_9,Lay,Sat Dec 21 00:21:17 2024,True
21,20.96087,0.6873436,tran_LayGtKttmmTtVt_8,Lay,Sat Dec 21 00:21:17 2024,True
22,19.97816,0.6839609,tran_LayGtKttmmTtVt_7,Lay,Sat Dec 21 00:21:16 2024,True
23,20.59486,0.6840503,tran_LayGtKttmmTtVt_6,Lay,Sat Dec 21 00:21:16 2024,True
24,20.90581,0.6841923,tran_LayGtKttmmTtVt_5,Lay,Sat Dec 21 00:21:16 2024,True
25,21.35248,0.6875788,tran_LayGtKttmmTtVt_4,Lay,Sat Dec 21 00:21:16 2024,True
26,21.34175,0.687333,tran_LayGtKttmmTtVt_3,Lay,Sat Dec 21 00:21:15 2024,True
27,18.94888,0.6830942,tran_LayGtKttmmTtVt_2,Lay,Sat Dec 21 00:21:15 2024,True
28,21.445429999999998,0.6891949,tran_LayGtKttmmTtVt_1,Lay,Sat Dec 21 00:21:15 2024,True
29,20.47464,0.6843641,tran_LayGtKttmmTtVt,Lay,Sat Dec 21 00:21:14 2024,True
